time,ref,sensor
0,0.001077579,1.000649414
0.000625,0.00204899,0.000834614
0.00125,0.003407988,0.000823001
0.001875,-9.21E-05,0.000631994
0.0025,0.002071129,0.000440949
0.003125,0.000598856,0.000279014
0.00375,0.000818433,0.000279014
0.004375,0.001033485,0.000279014
0.005,0.000160992,0.000138764
0.005625,0.000576188,-0.000329051
0.00625,-0.000339818,-0.000520057
0.006875,-0.000412594,-0.000711064
0.0075,-0.000852835,-0.000972287
0.008125,-0.00123648,-0.001278541
0.00875,-0.00112284,-0.001387586
0.009375,-0.001728145,-0.001387586
0.01,-0.002172323,-0.001294119
0.010625,-0.001940291,-0.001103162
0.01125,-0.001747475,-0.000807026
0.011875,-0.001191745,-0.000314076
0.0125,-0.000906449,-9.13E-05
0.013125,-0.000350802,-9.13E-05
0.01375,-0.000369257,-9.13E-05
0.014375,-0.000251132,-9.13E-05
0.015,-0.000188033,-0.000231561
0.015625,-0.00069476,-0.000568649
0.01625,-0.000254759,-0.000950662
0.016875,-0.001434721,-0.001017286
0.0175,0.001204003,-0.001017286
0.018125,-0.000907106,-0.001017286
0.01875,-0.001721326,-0.000841865
0.019375,-0.000157996,-0.000832086
0.02,-0.001838079,-0.000833919
0.020625,-0.00043475,-0.001032562
0.02125,-0.00098902,-0.001387586
0.021875,-0.000839833,-0.001387586
0.0225,-0.000625277,-0.001362234
0.023125,-0.001286702,-0.001202486
0.02375,-0.000823178,-0.001165507
0.024375,-0.001050319,-0.001017286
0.025,-0.000896441,-0.000822917
0.025625,-0.000460364,-0.000167538
0.02625,-0.000802396,0.000154325
0.026875,-0.000892012,0.000345331
0.0275,-0.000220948,0.000608462
0.028125,0.000390143,0.000912546
0.02875,0.001448594,0.001438453
0.029375,0.001916144,0.002035258
0.03,0.00285683,0.002321615
0.030625,0.002772982,0.002703908
0.03125,0.002986964,0.002978883
0.031875,0.002922703,0.003056814
0.0325,0.002763231,0.003056814
0.033125,0.00264936,0.003056814
0.03375,0.002821671,0.002795822
0.034375,0.004188551,0.002550184
0.035,0.001374779,0.002217094
0.035625,0.00235971,0.001390193
0.03625,0.001304593,0.000896959
0.036875,0.001006492,0.000514947
0.0375,0.001395536,0.000298573
0.038125,0.000285107,-6.38E-05
0.03875,0.000732587,-0.000445795
0.039375,-0.000326124,-0.000278625
0.04,-0.000415917,-0.000292376
0.040625,-0.000683376,-0.00103684
0.04125,-0.00105295,-0.001387586
0.041875,-0.001295431,-0.001387586
0.0425,-0.001169517,-0.001333199
0.043125,-0.002089594,-0.000951274
0.04375,-0.002032063,-0.000608075
0.044375,-0.001225441,-0.000372302
0.045,-0.000907727,-4.06E-05
0.045625,0.000197263,0.000263429
0.04625,0.000492285,0.000774105
0.046875,0.001158287,0.001224231
0.0475,0.00121937,0.001723229
0.048125,0.001524255,0.001945714
0.04875,0.001387274,0.001774571
0.049375,0.001702496,0.001483785
0.05,0.001256652,0.001390114
0.050625,0.002621364,0.001390114
0.05125,0.002428129,0.001390114
0.051875,0.000632835,0.001160356
0.0525,0.001755267,0.00077838
0.053125,0.00020105,0.00052289
0.05375,0.001070947,0.000464214
0.054375,0.000376392,0.000325773
0.055,-3.36E-07,-9.40E-06
0.055625,8.00E-05,-0.000391398
0.05625,-0.001045488,-0.000773411
0.056875,-0.000872693,-0.001155422
0.0575,-0.001402603,-0.001369869
0.058125,-0.00183562,-0.0012144
0.05875,-0.001844059,-0.001202486
0.059375,-0.001926774,-0.001572785
0.06,-0.003148178,-0.001375979
0.060625,-0.002486316,-0.001017286
0.06125,-0.002314475,-0.001017286
0.061875,-0.00168744,-0.000970834
0.0625,-0.000866426,-0.00055979
0.063125,-0.000662152,-2.15E-05
0.06375,-6.55E-05,0.000279014
0.064375,-0.000259909,0.000279014
0.065,0.000122,0.000279014
0.065625,-5.78E-05,0.000337385
0.06625,0.000144059,0.000464214
0.066875,4.82E-05,0.000534198
0.0675,0.001534822,0.000649414
0.068125,0.000419878,0.000649414
0.06875,8.20E-07,0.000649414
0.069375,0.000404101,0.000742932
0.07,-0.000159838,0.00073529
0.070625,0.000676267,0.000544284
0.07125,-0.000197719,0.000353279
0.071875,0.000412982,0.000395757
0.0725,-9.25E-05,0.000464214
0.073125,-0.000142451,0.000335554
0.07375,-0.000173587,1.02E-05
0.074375,-0.000426234,-0.000231558
0.075,7.20E-05,-0.000276486
0.075625,6.74E-05,-0.000124595
0.07625,-0.000298413,0.000224023
0.076875,-0.00077343,0.000442787
0.0775,0.000481116,0.000803441
0.078125,0.000284198,0.001536211
0.07875,0.001796021,0.001937768
0.079375,0.001542238,0.001760514
0.08,0.002521656,0.001760514
0.080625,0.002392272,0.00177396
0.08125,0.00236294,0.001926429
0.081875,0.002529208,0.001760514
0.0825,0.001826304,0.001791686
0.083125,0.001905054,0.001834775
0.08375,0.001558818,0.00126178
0.084375,0.002485881,0.000640249
0.085,0.000389709,-1.50E-05
0.085625,0.000136069,-0.000396897
0.08625,-8.78E-05,-0.000646886
0.086875,-0.000849218,-0.00071901
0.0875,-0.000805974,-0.000910017
0.088125,-0.001364582,-0.001184715
0.08875,-0.001541517,-0.00147713
0.089375,-0.002210927,-0.001858837
0.09,-0.002578119,-0.002229544
0.090625,-0.002679223,-0.002420669
0.09125,-0.003074642,-0.002724837
0.091875,-0.002803615,-0.002869086
0.0925,-0.002479162,-0.002619705
0.093125,-0.003720555,-0.002107268
0.09375,-0.002731201,-0.001670583
0.094375,-0.002687174,-0.001288645
0.095,-0.001836281,-0.000758737
0.095625,-1.27E-05,-3.11E-05
0.09625,-0.000311504,0.000413485
0.096875,0.001627959,0.001457968
0.0975,0.000777045,0.00191821
0.098125,0.001772003,0.002122968
0.09875,0.001910733,0.001947855
0.099375,0.001754901,0.001760514
0.1,0.002309683,0.001760514
0.100625,0.002464881,0.001744929
0.10125,0.003561683,0.001596706
0.101875,0.001393689,0.001760514
0.1025,0.002307629,0.001727509
0.103125,0.001948273,0.001497711
0.10375,0.001532079,0.001160394
0.104375,0.001894084,0.000918794
0.105,0.001139243,0.000705953
0.105625,0.001171765,0.000896959
0.10625,0.000523426,0.000815361
0.106875,0.000325717,0.000242381
0.1075,-0.000136326,-0.00017105
0.108125,-0.000587129,-0.000362056
0.10875,-0.000513327,-0.000553063
0.109375,-0.000981538,-0.000744231
0.11,-0.001604545,-0.000832086
0.110625,-0.001325026,-0.000613878
0.11125,-0.001384919,-0.000231865
0.111875,-0.00051903,-0.000212003
0.1125,-0.000453301,-0.000403009
0.113125,0.000247498,-0.000461686
0.11375,0.000409955,-0.000738414
0.114375,-0.000107861,-0.00054359
0.115,0.001007833,-0.000311631
0.115625,-0.000720818,-0.000120625
0.11625,0.000657818,-0.000252953
0.116875,-0.00108153,-0.000443959
0.1175,0.001180868,-0.000634966
0.118125,-0.000127119,-0.000825975
0.11875,-0.001852554,-0.001017286
0.119375,1.62E-05,-0.001214096
0.12,-0.001924431,-0.001584399
0.120625,-0.000480089,-0.001775406
0.12125,-0.001334752,-0.001989638
0.121875,-0.001310168,-0.002313586
0.1225,-0.001362091,-0.002313586
0.123125,-0.001945158,-0.002313586
0.12375,-0.001686435,-0.002313586
0.124375,-0.001889644,-0.00226102
0.125,-0.001711298,-0.002011641
0.125625,-0.001526228,-0.001565483
0.12625,-0.001827076,-0.001062515
0.126875,-0.001932445,-0.00060471
0.1275,-0.001358226,5.04E-05
0.128125,-0.000560945,0.000639634
0.12875,0.000259208,0.001021647
0.129375,0.000667529,0.001403606
0.13,0.001682794,0.001785573
0.130625,0.001269372,0.00205665
0.13125,0.002380442,0.002130914
0.131875,0.002089534,0.002130914
0.1325,0.002205644,0.002130914
0.133125,0.002283445,0.001996447
0.13375,0.00178868,0.001945714
0.134375,0.004466855,0.001799634
0.135,0.000373066,0.001608628
0.135625,0.002047405,0.001260006
0.13625,0.001633089,0.000878007
0.136875,0.000597924,0.000495994
0.1375,0.001966189,0.000113403
0.138125,0.000256893,-8.73E-05
0.13875,0.000958277,-0.000461686
0.139375,6.20E-05,-0.000461686
0.14,-0.000148218,-0.000461686
0.140625,-5.10E-05,-0.000423178
0.14125,-0.000613015,-9.13E-05
0.141875,-0.000296182,-9.13E-05
0.1425,-0.000491099,-1.73E-05
0.143125,-0.000944122,0.000321799
0.14375,-0.001012871,0.000561397
0.144375,-0.000503286,0.000997779
0.145,-1.38E-05,0.001390114
0.145625,0.000765937,0.001456125
0.14625,0.001325316,0.00164725
0.146875,0.001797734,0.001760514
0.1475,0.001785327,0.002011721
0.148125,0.002072066,0.00213703
0.14875,0.001596331,0.001755017
0.149375,0.002102333,0.001373054
0.15,0.001026017,0.001098048
0.150625,0.002587719,0.000793897
0.15125,0.001928621,0.000173943
0.151875,-0.00024696,-0.000340667
0.1525,0.001285808,-0.000592183
0.153125,-0.000827112,-0.000783189
0.15375,0.000426094,-0.001116305
0.154375,-0.000609669,-0.001350322
0.155,-0.001027355,-0.001695031
