time,ref,sensor
0,0.000964151,0.107836261
0.000625,0.001078428,0.105380397
0.00125,0.001150472,0.09816855
0.001875,0.001169414,0.086916203
0.0025,0.00112886,0.072712206
0.003125,0.001025335,0.056873855
0.00375,0.000860772,0.040777596
0.004375,0.000642403,0.025691585
0.005,0.00038096,0.012635251
0.005625,9.17E-05,0.002284646
0.00625,-0.000208256,-0.005065892
0.006875,-0.000500826,-0.009485395
0.0075,-0.000768466,-0.011340468
0.008125,-0.000996101,-0.011197484
0.00875,-0.001171858,-0.009712334
0.009375,-0.001288605,-0.00752643
0.01,-0.001344086,-0.005184547
0.010625,-0.001341039,-0.00308363
0.01125,-0.001286987,-0.001455619
0.011875,-0.001193033,-0.00037989
0.0125,-0.001072563,0.000182709
0.013125,-0.000940018,0.000344978
0.01375,-0.000809258,0.000248336
0.014375,-0.000692571,2.59E-05
0.015,-0.000599385,-0.000221504
0.015625,-0.000536249,-0.00052782
0.01625,-0.000505969,-0.000596344
0.016875,-0.000508405,-0.000684899
0.0175,-0.00054025,-0.000786756
0.018125,-0.000597584,-0.00089444
0.01875,-0.000673293,-0.001000273
0.019375,-0.000760066,-0.00109667
0.02,-0.000850802,-0.001176378
0.020625,-0.00093695,-0.001232705
0.02125,-0.001010964,-0.001259338
0.021875,-0.001064433,-0.00125056
0.0225,-0.001089114,-0.001201141
0.023125,-0.001077016,-0.001106697
0.02375,-0.001020243,-0.000963998
0.024375,-0.000912509,-0.000771293
0.025,-0.000748939,-0.000528961
0.025625,-0.000527715,-0.000240114
0.02625,-0.000250565,8.93E-05
0.026875,7.69E-05,0.00045034
0.0275,0.000444739,0.000830997
0.028125,0.000838975,0.001216953
0.02875,0.001242524,0.001592038
0.029375,0.001636552,0.001939236
0.03,0.002001436,0.002241911
0.030625,0.002318919,0.002484926
0.03125,0.002573054,0.002655785
0.031875,0.002751493,0.002745454
0.0325,0.002846412,0.002749066
0.033125,0.002853981,0.002666253
0.03375,0.002775884,0.002501042
0.034375,0.002616683,0.00226157
0.035,0.002384184,0.001959637
0.035625,0.002090034,0.001609849
0.03625,0.00174626,0.001228833
0.036875,0.001366765,0.000834267
0.0375,0.000966584,0.000444011
0.038125,0.000560679,7.55E-05
0.03875,0.000165285,-0.000255194
0.039375,-0.000204053,-0.000533843
0.04,-0.000531567,-0.000748931
0.040625,-0.000802532,-0.00089198
0.04125,-0.001004247,-0.000958058
0.041875,-0.001126231,-0.000945956
0.0425,-0.001162156,-0.000858495
0.043125,-0.001110157,-0.00070239
0.04375,-0.000973238,-0.000488052
0.044375,-0.000759821,-0.000229137
0.045,-0.000483479,5.85E-05
0.045625,-0.000161626,0.000357576
0.04625,0.000185366,0.000650359
0.046875,0.000535683,0.000919964
0.0475,0.000867942,0.001151467
0.048125,0.001162359,0.0013327
0.04875,0.001402312,0.001454834
0.049375,0.001574828,0.001512731
0.05,0.001671387,0.001504928
0.050625,0.001688255,0.001433451
0.05125,0.001624747,0.001303388
0.051875,0.00148489,0.001122156
0.0525,0.001275775,0.000899158
0.053125,0.001006543,0.000645091
0.05375,0.00068906,0.00037151
0.054375,0.000336573,9.03E-05
0.055,-3.61E-05,-0.000186622
0.055625,-0.000413082,-0.000447821
0.05625,-0.000778236,-0.000682508
0.056875,-0.001114986,-0.000881245
0.0575,-0.001408002,-0.001036144
0.058125,-0.001643526,-0.00114137
0.05875,-0.001810409,-0.001193632
0.059375,-0.001901537,-0.001192313
0.06,-0.001913829,-0.001139614
0.060625,-0.001849026,-0.001040434
0.06125,-0.001713979,-0.000901926
0.061875,-0.001519742,-0.000733079
0.0625,-0.001280658,-0.000543893
0.063125,-0.001013611,-0.000344697
0.06375,-0.000735873,-0.0001456
0.064375,-0.000464493,4.40E-05
0.065,-0.000214301,0.000215945
0.065625,2.56E-06,0.000363621
0.06625,0.000177177,0.000482142
0.066875,0.000304843,0.000568301
0.0675,0.000383942,0.000620736
0.068125,0.000415779,0.000639818
0.06875,0.000405164,0.00062754
0.069375,0.00035867,0.00058775
0.07,0.000284457,0.000526108
0.070625,0.000192171,0.00045002
0.07125,9.23E-05,0.000368347
0.071875,-4.14E-06,0.000291066
0.0725,-8.59E-05,0.000228596
0.073125,-0.000141911,0.000190972
0.07375,-0.000162117,0.000186911
0.074375,-0.000138277,0.000222858
